,artists
0,Billy Joe Shaver
1,Danko Jones
2,Suzanna Lubrano
3,Bosse
4,Billy Idol
5,Palov & Mishkin
6,The Bloodthirsty Lovers
7,Del Amitri
8,Goapele
9,Bosse
10,Halifax
11,Scum of the Earth
12,Flight Of The Conchords
13,Manchester Orchestra
14,iio
15,Color Me Badd
16,Model 500
17,Little Brother
18,Dave Alvin
19,Cledus T. Judd
20,2 LIVE CREW
21,The (International) Noise Conspiracy
22,I Start Counting
23,Doris Duke
24,Jawat
25,Alex Gopher
26,Dave Holland_ Chris Potter_ Robin Eubanks_ Steve Nelson_ Billy Kilson
27,Tosca
28,Inspectah Deck ft. Saigon & Bekay
29,A.B. Quintanilla III Y Los Kumbia All Starz
30,Tone-Loc
31,Gregor Meyle
32,Raw Artistic Soul
33,Animal Collective
34,Olli Banjo
35,Wreckelekt
36,Peter Bjorn And John
37,Jennifer OConnor
38,Solex
39,Silverchair
40,Lyrics Born
41,Da Muzicianz
42,Ticon
43,Estopa
44,Phoenix
45,Daniela Herrero
46,The Hold Steady
47,Vanessa Paradis
48,Aztec Camera
49,Miguel Morales
50,Lord Nelson
51,Sun Yan-Zi
52,Black N Blue
53,Zuco 103
54,Badfinger
55,Gibonni
56,Dierks Bentley
57,Boxcutter
58,The Brand New Heavies
59,Frank Ifield
60,Grayson Capps
61,The Accident Experiment
62,Ladytron
63,Mavado
64,Telepath
65,Clan Of Xymox
66,Jeans (Mexico)
67,Country Gentlemen
68,Main Concept
69,Martina Sorbara
70,Brian McKnight
71,Les Vulgaires Machins
72,Allan Sherman
73,The Fabulous Thunderbirds
74,Wayman Tisdale
75,Ndidi Onukwulu
76,The Mills Brothers
77,Toby Lightman
78,STEVE TAYLOR
79,Kool Keith
80,Jan & Dean
81,Binomio de Oro
82,Jason Miles
83,Jo Boxers
84,John And The Bluesbreakers Mayall
85,Kathy Mattea
86,Over The Rhine
87,My Latest Novel
88,Modern Talking
89,Son Doobie
90,Seu Jorge
91,Beres Hammond
92,Linda Ronstadt
93,Matt Redman
94,Nick Ingman
95,Tim 'Love' Lee
96,Busdriver
97,Gabor Szabo
98,Extol
99,Cracker
100,Amerie
101,Cirrus
102,Bloc Party
103,Jeanette
104,The Black Crowes
105,Jarvis Church
106,Kingdom Feat. Shyvonne
107,The Les Claypool Frog Brigade
108,Up_ Bustle & Out
109,Caparezza
110,Hindi Zahra
111,Cassandra Wilson
112,The Automatic
113,Cam'Ron
114,Delorean
115,Sarah Chen
116,Stone Gossard
117,Lil Irocc Williams
118,Tonino Carotone
119,Desaparecidos
120,The Cranberries
121,Filarmnica Gil
122,Chulito Camacho
123,Unforscene
124,The Futureheads
125,Perrey And Kingsley
126,Teenage Fanclub & Jad Fair
127,The Housemartins
128,Evil Nine
129,Alias
130,Black Eyed Peas
131,Ike Reilly
132,La Mosca Tse-Tse
133,David Lee Garza Y Los Musicales
134,Monster Magnet
135,Daryle Singletary
136,Gary Hobbs
137,Jeffrey & Jack Lewis
138,Lali Puna
139,Rick Ross
140,China Crisis
141,Lightning Bolt
142,Chromeo
143,Academy of St Martin-in-the-Fields/Sir Neville Marriner
144,Fact
145,Morcheeba
146,Michael Bubl
147,The Woodentops
148,Lowgold
149,Mark Eitzel
150,Freddie McGregor
151,Ryksopp
152,The Red Chord
153,Andy Palacio & the Garifuna Collective
154,Angelspit
155,New Trolls
156,DJ Shadow
157,The Dead Weather
158,Diego Torres
159,Purpleman
160,I'm Not A Gun
161,Andy Tau & Touch Enable Feat. Louisa Allen
162,Navid Modiri & Gudarna
163,Missy Higgins
164,Gina Sicilia
165,The Lemonheads
166,Rupaul
167,Johnny Rivers
168,Compay Segundo
169,Beth Hart
170,Junior Delgado
171,Tom Waits
172,Further Seems Forever
173,Christina Aguilera
174,The Roots
175,Kanye West / Mos Def
176,Two Dollar Pistols with Tift Merritt
177,Carl Thomas
178,Efecto Mariposa
179,The Hot Puppies
180,Technicolour
181,Krayzie Bone featuring Kelis
182,Lunik
183,Rammstein
184,Big Brother & The Holding Company;Janis Joplin
185,Acorps de Rue
186,Cara Dillon
187,Angela Johnson
188,SOJA
189,Esser
190,Anna Karina
191,Beth Nielsen Chapman
192,Bloodstone
193,Nightrage
194,Matmatah
195,Corinne Bailey Rae
196,Mike Dillon's Go-Go Jungle
197,Spider Rockets
198,Karan Casey
199,Milanese
200,Krishna Das
201,Tlphone
202,Epic Hero
203,Los Llaneros De La Frontera
204,The Real Booty Babes
205,Corde Oblique
206,Navajita Platea
207,Tim Finn
208,LOFOFORA
209,Strangeways
210,Will Downing
211,Justice
212,Sia
213,Tritonal
214,Loriod Yvonne_Ensemble Intercontemporain_Olivier Messiaen_Pierre Boulez
215,Ry Cooder
216,Marc Anthony
217,LU
218,Van Der Graaf Generator
219,Rodrigo y Gabriela
220,Nitzer Ebb
221,Matt Wertz
222,Kero One
223,Sofa Surfers
224,xLooking Forwardx
225,Sneaker Pimps
226,La Gran Orquesta Republicana
227,No Fun At All
228,Fred Eaglesmith
229,The Promise Ring
230,Ben Taylor
231,Zolof The Rock & Roll Destroyer
232,Alphaville
233,Pierre Perret
234,Bebel Gilberto
235,Travis
236,Greater Vision
237,C-Mon & Kypski feat. Wouter Hamel
238,David Sanborn
239,Rancid
240,Joe Cocker
241,Great American Taxi
242,Mississippi John Hurt
243,Eat Static
244,Joe 90
245,Kylie Minogue
246,Janet Jackson
247,Ministry
248,Alborosie [feat. The Tamlins]
249,Peggy Lee
250,Sondre Lerche
251,Icon Of Coil
252,Sarah McLachlan
253,Incognito
254,Nice & Smooth
255,DJ Deeon
256,K-Otix
257,The Offspring
258,Deerhoof
259,Keith Sweat
260,Myriam Hernndez
261,Monk Hughes & The Outer Realm
262,Voodoo Glow Skulls
263,Jeff Foxworthy/Bill Engvall/Ron White/Larry The Cable Guy
264,The Gants
265,SKOLD vs. KMFDM
266,Clutch
267,Japan
268,Bad Religion
269,Vic Chesnutt
270,Cheb Mami
271,Johnny Clegg & Savuka
272,Cazuza
273,Charlie Hall
274,Arctic Monkeys
275,Assassin
276,Hey Hey My My
277,Drowning Pool
278,Jah Cure
279,7 Year Bitch
280,BOMB THE MUSIC INDUSTRY
281,Mediengruppe Telekommander
282,New Edition
283,Bo Bice
284,Sharon Jones & The Dap-Kings
285,Chabuca Granda
286,The Slackers
287,Peggy Lee
288,Brooklyn Funk Essentials
289,Niccol Fabi
290,The Elders
291,Brian Free & Assurance
292,Soklak
293,La Troba Kung-F
294,Jade Ewen
295,CRW
296,Billy Fury
297,Pillar
298,Jackie Greene
299,The Muffs
300,Hari and Aino
301,Lhasa De Sela
302,Thieves Like Us
303,Jennifer Lopez
304,Tongue N Cheek
305,Osaka Monaurail
306,Alton Ellis
307,Disiz
308,Caparezza
309,Jean Knight
310,Ted Leo and the Pharmacists
311,The Meters
312,Charlie Musselwhite
313,Karrin Allyson
314,Shub-Niggurath
315,The Wave Pictures
316,Siobhan Donaghy
317,Mara Tremblay
318,Philip Bailey
319,As Tall As Lions
320,Darla Farmer
321,Maroon 5
322,Keyshia Cole
323,Ben Ricour
324,Gaither Vocal Band
325,Jarabe De Palo
326,Anais Mitchell [feat. Ben Knox Miller and Justin Vernon]
327,Tha Eastsidaz
328,Ghymes
329,Cartola
330,Azure Ray
331,Barry Manilow
332,Adam Faith
333,David Lee Roth
334,Heavy D & The Boyz
335,Ayo
336,Steve Cole
337,Eagles
338,Bunny Wailer
339,Marty Haugen
340,STEVE CAMP
341,Kid Koala
342,Wayne Newton
343,Jennifer Knapp
344,Tri Sestry
345,Outlandish
346,Sera Cahoone
347,Snoop Dogg / Lil Jon / Trina
348,The Hollies
349,Peter Hammill
350,Fear Factory
351,Gloria Gaynor
352,Los Straitjackets
353,Tony Rebel
354,MC Lars
355,Cachaito Lopez
356,Pink Cream 69
357,Elevation
358,Eric Clapton
359,Whitesnake
360,Terror Fabulous
361,The Icicle Works
362,The Lettermen
363,Johnny Hartman
364,T.Love
365,Bernard Fevre
366,Alaska Y Dinarama
367,Performed by Jennifer Hudson;Dreamgirls (Motion Picture Soundtrack)
368,Ice Cube
369,Musiq / DJ Aktive / Carol Riddick
370,Mark Farina  feat. Sean Hayes
371,Willie Mitchell
372,Haji & Emanuel feat. Roachford
373,Darren Styles
374,Chuck Mangione / Don Potter
375,The Muppets
376,Blk Jks
377,Sheek Louch
378,J-Diggs
379,Chris Cagle
380,Bart Peeters
381,Joe Arroyo Y La Verdad
382,Craig Morgan
383,Bob Evans
384,Willi Williams
385,Abenaa
386,Jay Tee
387,UGK featuring Raheem DeVaughn
388,Less Than Jake
389,Mobb Deep
390,Kierra Sheard
391,Rewiring Genesis
392,The Chuck Norris Experiment
393,Floor
394,Coki
395,Man Like Me
396,Teenage Bad Girl
397,Encre
398,Gene Harris
399,Abdel Halim Hafez
400,John Prine
401,"Damian ""Jr. Gong"" Marley"
402,Danny Wilson
403,Elsa Garcia
404,Smokey Robinson
405,DJ Quicksilver
406,Cross Canadian Ragweed
407,Shearwater
408,William Shatner
409,Alias
410,King Tee
411,Jose Padilla
412,Maria Gad
413,Clara Nunes
414,Alice Stuart
415,Dave Hollister
416,The Gourds
417,Sun Yan-Zi
418,Mathew Jonson
419,Gary Moore
420,Urban Knights
421,Subsonica
422,Pernice Brothers
423,Robert Natus & Arkus P.
424,T.O.K
425,CMX
426,Queens Club
427,Jane's Addiction
428,Weepers Circus
429,Procol Harum
430,Ratos de Poro
431,Gonzalo Rubalcaba
432,Patty Loveless
433,Irwin Goodman
434,Jay Reatard
435,Hil St Soul
436,Black Label Society
437,Clara Ward
438,The Red Jumpsuit Apparatus
439,The Paddingtons
440,Garnett Silk
441,Immortal Technique
442,Mark B & Blade
443,Ice Cube
444,Peetah Morgan
445,Trisha Yearwood
446,Mtume
447,Incubus
448,Ingrid Olava
449,Run Kid Run
450,The Mighty Mighty Bosstones
451,Len Gieco/Victor Heredia
452,Restless Heart
453,Nicho Hinojosa
454,DoomSword
455,4hero
456,Dan Bern
457,Mike McClure
458,Jungle Brothers
459,Billie Jo Spears
460,Juggy D
461,Attaque 77
462,Dark Dark Dark
463,Marcus Miller
464,Banaroo
465,LANDA DANIEL
466,Do Or Die
467,Kelly Clarkson
468,Thievery Corporation
469,A Hawk And A Hacksaw
470,Perry Blake
471,David Jalbert
472,Samajona
473,Kieran
474,Krayzie Bone featuring K-Mont_ LaReece_ Asu and Wishbone
475,Lovehatehero
476,Dash Berlin
477,Delroy Washington
478,Carlos Y Jos
479,Frida Hyvonen
480,Non Prophets
481,? & The Mysterians
482,Cloud Cult
483,Sweet
484,Ghislain Poirier
485,Dada
486,Soda Stereo
487,Shotu
488,Hladno Pivo
489,The Decemberists
490,Holy Molar
491,Amon Tobin
492,DL Incognito
493,Piero Piccioni
494,Elisa
495,Aaron Jerome
496,BoDeans
497,Ashanti
498,The Chills
499,Os Mutantes
500,Frederik
501,John Waite
502,Hot Club De Paris
503,Karan Casey
504,SFDK
505,Andrae Crouch
506,Super Mal
507,James Taylor Quartet
508,Thomas Dutronc / Marie Modiano
509,The Infested
510,Beastie Boys
511,Franco Battiato
512,Lenine
513,Quasi
514,GWAR
515,Howie B
516,Municipal Waste
517,Uncle Tupelo
518,Bobby McFerrin
519,Spin Doctors
520,Pharrell featuring Slim Thug
521,Innocence Mission
522,Chezere
523,Billie Jo Spears
524,Vanessa Paradis
525,Sizzla
526,Jape
527,Foghat
528,Audio Lotion
529,Yvonne Elliman
530,Little Johnny Taylor
531,Anberlin
532,Hector
533,FFH
534,Filteria
535,King Tee
536,Jesse Harris
537,CPM22
538,Hjaltaln
539,Lost Boyz
540,Cher
541,Dori Caymmi
542,Fashawn
543,Anti-Flag
544,N.W.A.
545,BLESTeNATION
546,Sonny Rollins Quartet
547,The Upper Crust
548,Bacilos
549,Sayag Jazz Machine
550,Cristian Castro
551,Michael Bubl
552,Manowar
553,The Features
554,St. Lunatics / Cardan
555,Morgan Heritage
556,Film School
557,Tracy Chapman
558,God Damn
559,La Bergre
560,Red
561,Jacques Higelin
562,Wreckelekt
563,Don Omar
564,The Classic Crime
