,xs,ys,artists,songs
0,4.385064215385246,6.342529607021879,Billy Joe Shaver,If It Don't Kill You
1,-1.9794367394795171,3.9812456779745857,Danko Jones,Love Is Unkind
2,7.867334849917913,0.4783472354896461,Suzanna Lubrano,Silencio
3,-2.3352712709537884,3.2679896248885143,Bosse,Kamikazeherz
4,1.4271902938605214,4.043367245396127,Billy Idol,The Right Way
5,-2.3302111970396613,3.343424854157362,Palov & Mishkin,Rude Mamba Pt1
6,-4.768682679715354,2.6387976785889036,The Bloodthirsty Lovers,The Conversation
7,-1.542331125121306,-3.6948343254975335,Del Amitri,Lucky Guy
8,-3.8067923737242273,-1.4836886658663717,Goapele,Childhood Drama
9,-1.7075571334831463,-7.070267107997973,Bosse,Die Kunst des Verlierens
10,3.5522970591066367,-5.348806571071187,Halifax,I Told You So
11,-3.372227038749524,-7.23939807893916,Scum of the Earth,Death Stomp
12,-0.5445380698282208,-5.1524357482525245,Flight Of The Conchords,Hurt Feelings
13,-1.305290757004221,0.449310592380661,Manchester Orchestra,My Friend Marcus
14,4.782553153738477,4.0331848766421645,iio,At The End (Scumfrog Remix)
15,-1.8107055964416736,-0.21448502032454944,Color Me Badd,Time And Chance (Album Version)
16,-1.6370879157718476,-7.052423962641528,Model 500,Lightspeed
17,-5.393415149456294,-2.8047396082863463,Little Brother,Second Chances feat. Bilal & Darien Brockington
18,4.505248251037115,6.278388288341523,Dave Alvin,East Virginia Blues
19,-1.2604269891872557,0.342743114659714,Cledus T. Judd,Shade Tree Mechanic
20,0.2653495129198257,-4.3787361235564095,2 LIVE CREW,Jack Boy Story
21,5.248137802740985,-5.3593059765869215,The (International) Noise Conspiracy,Enslavement Blues
22,6.223735226868791,-2.450037638238588,I Start Counting,Letters To A Friend
23,2.0865613897792574,-6.438788603530579,Doris Duke,He's Gone
24,0.8096944759931155,4.522441425506937,Jawat,Nou En
25,3.205022017000234,0.5493987724090945,Alex Gopher,Consolidated
26,-7.3203825621907646,-5.565291502783821,Dave Holland_ Chris Potter_ Robin Eubanks_ Steve Nelson_ Billy Kilson,High Wire
27,-2.6016812541856984,0.26524919003074876,Tosca,Sorri
28,-0.42781911794653055,-0.4708774614943906,Inspectah Deck ft. Saigon & Bekay,The Raw
29,-8.946737802620786,1.768154702544333,A.B. Quintanilla III Y Los Kumbia All Starz,No Tengo Dinero (ATM Remix)
30,-0.8930350098372614,-2.320089196783579,Tone-Loc,The Homies
31,-4.208175045621392,2.06681895063504,Gregor Meyle,Wozu
32,-3.347666661558819,-6.933941412451726,Raw Artistic Soul,What About Love (feat. Mirta Junco Wambrug)
33,-8.250129482054328,-2.7821258862160456,Animal Collective,Derek
34,-5.462809893458351,4.960977768491895,Olli Banjo,Scheisse Und Pervers
35,-6.964580406248714,-0.7907258140024952,Wreckelekt,Playin'
36,0.11419572207170856,6.939080910852505,Peter Bjorn And John,The Fan
37,6.315901578511349,5.88336576748013,Jennifer OConnor,Highway Miles
38,3.131548539724004,5.047217378347839,Solex,Oh Cripes!
39,2.504316184239808,0.4599660907364352,Silverchair,Across The Night (Album Version)
40,-3.746309635783753,7.0894975270057285,Lyrics Born,Dream Sequence
41,-1.139017611117956,-2.530909159431167,Da Muzicianz,Pop That
42,4.327749152786479,-4.734149290128575,Ticon,Mona Bone
43,-5.7743001094525175,-1.2788095097459609,Estopa,Vino Tinto
44,-1.7611248899743692,1.1020944072847842,Phoenix,I'm An Actor
45,-3.3599817116341044,-7.037009189994773,Daniela Herrero,Todo El Tiempo
46,8.887871275130868,-3.751393107337897,The Hold Steady,Arms & Hearts
47,-1.4573550185221944,6.751943936721458,Vanessa Paradis,Chet Baker
48,7.290057200915264,-2.994280708752163,Aztec Camera,Sister Ann
49,-7.092028488203655,-2.159705528181338,Miguel Morales,Jams Me Cansar De T
50,3.6784497184064033,-3.1377989068918524,Lord Nelson,Immigration
